"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Switzerland","CHE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","4878.4","4749.41","4821.68","5060.67","5139.58","5125.49","5208.18","5313.35","5354.23","5397.46","5483.61","5470.53","5435.21","5588.46","5591.22","5658.93","5658.56","5630.65","5686.98","5828.74","6450","6340","6250","6110","6060","6000","5960","5760","5680","5550","5480","5530","5480","5360","5290","5300","5300","5250","5290","5190","5180","5110","5060","5000","4960","4900","4860","4830","4790","","",
"Channel Islands","CHI","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","10912.9","11364.8","12268.3","12264.6","12218.7","12678.3","13107","12385.8","12520","12713.4","12656.7","12051.9","11837.8","11646.7","11651","11006.8","11063.7","11351","11723.5","11933.8","12220","12330","12540","12840","13070","13350","13620","14020","14280","14370","14460","14260","14060","13920","13880","13760","13530","13360","13540","13700","13790","13870","14080","13050","13220","12850","13000","13110","13480","","",
"China","CHN","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","781088","813814","825771","826991","830833","854612","861785","871602","877210","874356","869136","861145","870542","890568","908770","908613","925594","940693","961551","991542","730340","743070","751660","757560","773650","798450","823860","791730","813830","825690","829610","824170","819890","815910","829700","837670","883360","921560","973580","1018910","1063830","1106190","1151100","1178020","1206210","1237520","1242150","1239130","1238630","","",
"Cote d'Ivoire","CIV","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","7803.2","7554.85","7486.68","8251.49","6276.09","6981.66","7352.1","8838.9","7428.51","8231.33","10315.6","8446.63","9963.32","9256.79","9252.31","8406.7","8700.61","9217.68","8672.97","9642.07","3960","9150","14320","19350","24580","24320","23730","23450","23110","22750","22500","21380","20300","18860","16800","16200","14670","13310","11720","10240","8780","7540","6280","6560","6160","6280","6910","6540","6560","","",
"Cameroon","CMR","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","8286.23","8197.01","7986.47","8591.02","6852.3","7544.52","7988.62","9451.52","8285.96","9063.01","11453","9871.54","11008.5","12899.4","13011.8","12354.8","14152.2","14006.8","10951.7","13449.5","9030","9040","9110","9160","9220","9460","9790","10240","11010","11480","12530","12170","12170","12960","12320","13190","12840","12940","12560","12490","12960","13080","13550","14040","14220","14620","14760","14800","14960","","",
"Congo, Dem. Rep.","COD","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","119583","49226.3","56073.3","62884.2","49570.4","66528.2","54983.4","68535.2","73709.3","109096","82413","65799.7","79415.3","77938.3","49598.8","51682.6","48495.5","83973.6","45660.2","57709.6","24920","25310","25900","26320","26780","26870","24340","24170","24560","23710","23820","24890","27580","29040","30150","30170","30920","29840","31100","31540","32550","32700","33700","35320","35980","37360","37790","38830","38620","","",
"Congo, Rep.","COG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","6677.41","4170.6","4471.89","5250.01","5067.27","5372.71","4959.69","5144.37","5300.64","6602.25","5693.92","5177.74","5748.04","5769.38","4812.65","4937.77","4918.03","6310.09","5044.82","5618.95","1750","1730","1710","1690","1660","1690","1140","1200","1250","1290","1230","1330","1610","2060","2180","2440","2610","2620","2750","2800","3140","3220","3180","3300","3140","3360","3430","3450","3540","","",
"Colombia","COL","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","36921","36570","38180.4","38096.9","39796.1","41515.7","43123.9","42801.1","44897.1","45127.8","45210.4","45467.5","46501","45930","43830.8","44295.3","45353.3","47576.8","47425","48818.6","57300","57330","58360","59460","60590","61000","61960","61750","62500","61180","62020","63470","64160","65690","66890","67430","68160","70310","71450","72210","74190","71900","70020","70260","70510","71200","71920","74540","76700","","",
"Comoros","COM","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","142.057","142.849","144.724","147.313","150.176","152.877","159.371","162.331","165.655","170.022","170.179","170.336","169.795","168.524","172.068","170.201","170.872","170.92","174.754","179.793","170","170","170","180","180","180","180","190","190","190","170","190","190","190","190","190","210","190","210","220","230","240","250","260","260","270","280","270","270","","",
"Cabo Verde","CPV","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","45.8144","45.0365","47.2747","45.9685","45.1301","45.1332","46.6151","47.8873","49.724","51.5931","53.9507","55.7915","58.8978","54.5491","55.0535","58.7487","63.0441","67.9102","75.7627","80.2449","90","90","100","100","100","100","100","100","100","100","100","100","100","100","110","110","110","110","110","120","120","120","120","120","120","130","130","120","120","","",
"Costa Rica","CRI","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","2598.51","2675.06","2774.89","3053.13","3097.96","3190.4","3219.14","3292.59","3418.32","3567.13","3589.08","3769.43","3793.09","3871.56","3998.16","3868.56","3840.69","3828.49","3749.32","3663.94","4290","4320","4330","4390","4140","3850","3850","3900","4030","4020","4040","3980","3920","3870","3810","3940","3920","4130","4300","4370","4430","4550","4490","4570","4590","4640","4810","4870","4820","","",
"Caribbean small states","CSS","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","5858.0756","5333.0993","5362.0039","5490.9039","5938.0434","6307.8099","6261.1471","6347.9807","6466.9225","6255.7804","6638.3313","6454.5112","7083.485","7043.22","7127.5077","7200.3484","7329.4803","7560.5517","7357.6054","7191.668","14550","15070","15520","15750","15950","15040","13910","12790","11600","10630","9260","9430","9260","9630","9530","9420","9360","9490","9760","10050","10230","10390","10420","10640","10820","10910","10630","10830","10780","","",
"Cuba","CUB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","13600.2","12188","11819.9","12364.4","12267.6","12109.8","12059.3","11978.1","12090.1","12240.3","11860.2","11652","12151","11838.9","12140.8","11966.6","12043.1","11949.2","11988.8","12302.8","12630","12270","12140","11170","11490","11800","12930","12890","12900","12570","12540","12410","12550","12770","12430","11900","12190","12280","12550","13180","13060","13360","13330","13350","13280","12780","12980","12600","12690","","",
"Curacao","CUW","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","12.2052","12.5119","12.8929","13.3732","13.7552","14.2026","14.6307","15.4674","15.6787","16.0605","16.7495","17.5631","18.1124","22.0187","14.9408","14.8227","15.2839","15.5447","16.106","16.5162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","340.552","345.815","356.637","365.062","344.135","252.722","262.615","281.375","298.266","302.542","311.099","321.55","335.2","351.207","370.416","384.319","390.326","403.436","414.707","424.875","530","540","550","560","580","590","600","610","620","620","640","660","680","670","670","670","670","670","680","680","690","690","690","690","700","700","720","730","740","","",
"Czech Republic","CZE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","17963.3","18130.6","18186.7","18136","18286.8","18730.6","18950.7","19714.1","19531.2","20289.3","19741.9","19844.8","19879.4","20133.4","20172.9","20123.9","19966.4","19912.5","19784.2","19253.5","23900","22390","20880","19880","18680","18140","17960","17560","16810","15890","15020","14750","14190","14100","13680","14050","14280","13830","13920","13580","13780","13750","13590","12790","12720","12730","12440","12430","12430","","",
