"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Brunei Darussalam","BRN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","439.89","291.0466","362.6132","513.6545","293.86822","287.71131","280.4632","423.46","507.6126","439.7598","522.474","452.7209","451.4561","837.3286","481.1944","407.6934","476.4142","636.3401","498.4924","344.0876","80","90","90","80","80","90","90","90","100","110","110","120","110","120","120","120","130","130","130","130","140","140","150","150","150","150","150","150","150","","",
"Bhutan","BTN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","119.4461","120.93503","122.97204","125.52799","128.20267","129.46747","131.96111","134.79823","139.66058","142.60961","145.72108","150.25359","153.63507","157.33306","161.58099","165.56852","166.23564","169.85706","167.13061","170.55208","160","160","160","160","160","170","170","170","170","180","170","160","170","170","170","180","180","180","170","180","180","180","180","180","180","180","180","180","190","","",
"Botswana","BWA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","5644.573","2830.1512","3259.991","3570.89","3141.354","3953.616","3641.043","4317.773","4412.695","5815.941","4775.767","4110.879","4643.986","4487.963","3259.185","3222.977","3060.7726","4480.027","3049.1352","3631.433","4790","4620","4500","4390","4560","4880","5720","5450","4960","4870","4710","5790","5980","2330","2600","3150","4210","3200","7710","3100","8950","11210","4940","4440","3080","2790","2430","4140","3160","","",
"Central African Republic","CAF","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","35826.39","34126.97","33293.07","37688.25","24669.211","28127.23","29849.993","38623.52","29153.857","33710.95","46880.37","34767.74","43569.57","38510.99","37643.92","31627.44","32510.63","35126.41","30812.171","36059.51","18900","19360","19730","20100","22870","23270","24630","25040","26390","25480","27340","25150","23790","26280","24730","25080","25280","25560","26380","24150","25420","27170","26840","28660","29590","30910","32140","31620","32110","","",
"Canada","CAN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","29006.235","31160.58","28617.278","31034.41","32892.55","33307.02","39460.83","39060.93","38812","50217.52","55781.71","56883.76","43337.38","46595.79","46112.81","47045.6","42682.97","41906.42","42366.46","61339.39","42190","41810","42350","42120","44390","45950","48580","46600","43640","40810","39250","38910","40160","40790","42470","43250","38620","42430","42330","38800","38970","41330","43250","42600","41840","41860","40990","41400","43120","","",
"Central Europe and the Baltics","CEB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","102808.7782","107202.5787","110138.5422","117855.9395","122851.4035","127970.1452","126948.0752","129227.1394","132459.1281","131840.3464","131288.5216","130111.7709","129043.0025","129668.7809","130440.0516","128521.9173","126399.8216","124110.2236","127122.5184","119798.4708","87580","74370","68350","66370","65720","64970","67030","66820","62900","60890","63720","64450","61600","62950","66160","66090","64760","66360","63810","55530","56460","57370","55960","54970","54400","55590","56280","56220","56420","","",
"Switzerland","CHE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","2517.2589","2505.3394","2549.3718","2707.8655","2702.5521","2671.0747","2735.5454","2826.1088","2917.7572","2902.0464","2927.3362","2909.97","2783.3753","2895.6573","2883.3286","2907.986","2914.9548","2870.2311","2858.1225","2893.0688","2690","2680","2650","2610","2610","2600","2590","2510","2500","2410","2380","2410","2290","2260","2230","2270","2280","2240","2310","2280","2280","2240","2180","2210","2190","2180","2190","2180","2140","","",
"Channel Islands","CHI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","4126.038","4014.748","4196.873","4083.289","4226.23","4172.817","4189.712","4133.075","4287.424","4437.433","4500.921","4507.152","4484.336","4570.175","4615.094","4508.361","4814.982","5030.091","5152.324","5159.64","4760","4770","4970","5200","5410","5710","5970","6180","6260","6530","6690","6630","6650","6380","6860","6490","6640","7200","7940","7960","8240","7640","7480","6940","6790","6730","6300","6320","6410","","",
"China","CHN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","139154.97","141874.29","148863.86","158473.86","154280.49","166425.05","173203.82","190822.36","209298.36","222217.3","237185.34","233575.7","241870.06","260209.66","270793.99","263144.43","269658.77","300178.58","316382.9","324573.1","312810","319570","324780","315420","328610","370950","396540","368670","377470","393760","386080","388460","406210","407630","420330","428090","439850","448440","464100","475600","486770","493000","503970","515990","528020","542900","546990","542100","538790","","",
"Cote d'Ivoire","CIV","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","5585.425","5454.543","5431.045","5826.326","4707.071","5034.896","5201.676","6056.532","5271.705","5703.411","6919.2","5855.838","6678.764","6247.368","6227.063","5713.207","5796.69","6023.083","5720.43","6193.18","2580","3010","3430","3890","4330","4170","3780","3710","3520","3210","3080","3290","3610","3470","2860","3540","3310","3430","3160","3050","3040","3160","3190","3420","3010","3090","3680","3080","3030","","",
"Cameroon","CMR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","6975.899","6837.639","6661.125","7217.637","5557.711","6092.709","6405.561","7765.779","6613.137","7248.854","9282.237","7736.794","8680.155","8012.849","7964.024","7495.521","7722.844","8102.098","7629.379","8409.525","5420","5380","5400","5410","61190","61190","61330","61510","62060","62020","62730","62330","62270","62950","62210","62990","62490","62410","62280","62160","62470","62430","62370","62570","62490","62610","62700","62680","62710","","",
"Congo, Dem. Rep.","COD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","102941.39","51330.11","56144.1","61105.34","51105.05","63493.89","54416.16","64808.29","68962.29","95986.54","76365.4","64093.12","74579.49","74175.25","53197.24","54284.1","50319.51","76718.49","48343.88","56790.14","14080","14010","14070","14050","14060","14000","11270","11020","11500","10570","10510","11290","13900","15110","16060","15830","16090","14350","15160","15060","15610","14940","14920","15730","15500","16170","16060","16630","15790","","",
"Congo, Rep.","COG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","4318.951","2727.69","2889.7115","3048.788","2744.0022","3149.011","2868.7369","3199.696","3336.344","4197.772","3588.126","3220.962","3580.314","3591.164","2949.7833","3015.9931","2923.4519","3816.689","2995.9361","3318.178","1520","1520","1520","1520","1530","1520","890","910","940","940","830","880","1120","1560","1640","1860","1890","1740","1750","1670","1900","1950","1890","1970","1760","1950","1980","1960","2010","","",
"Colombia","COL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","15031.869","14452.417","15469","15305.599","15604.966","16319.051","17267.992","16893.233","17457.278","17686.151","17886.876","17595.228","18284.079","17952.503","17141.884","17378.414","18097.583","19236.151","19064.318","19310.489","17930","17930","17920","18250","18540","18520","18260","18270","18610","17960","18450","18950","19250","19940","20180","20580","21050","22560","21740","21950","22460","21700","21230","19770","20320","19790","19890","21080","21720","","",
"Comoros","COM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","38.91523","39.50733","40.06502","40.96495","41.96253","42.83301","43.81323","45.42864","46.46342","45.29069","45.32386","44.72432","44.47291","43.24438","42.58563","40.15554","40.09137","39.26646","40.78143","42.35096","40","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","","",
"Cabo Verde","CPV","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","18.35696","17.781104","19.338947","18.634534","17.059114","17.534065","18.814489","19.666586","22.376761","23.702197","30.073999","27.277117","29.610239","25.005933","27.046911","27.842092","30.997768","38.68335","42.10358","43.7131","60","60","80","80","70","90","60","70","80","90","80","80","80","80","90","90","90","90","90","100","100","70","80","80","80","80","80","70","70","","",
"Costa Rica","CRI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","1162.6674","1144.9509","1183.7381","1298.8752","1303.6368","1313.7211","1317.2892","1446.212","1487.9163","1546.9155","1559.6813","1601.5096","1678.3307","1711.3085","1746.7539","1672.8189","1708.0163","1765.8251","1805.378","1837.1778","1670","1710","1710","1680","1650","1540","1780","1830","1870","1680","1590","1480","1470","1590","1490","1560","1580","1670","1760","1550","1670","1890","1830","1850","1780","1830","1960","1920","1940","","",
"Caribbean small states","CSS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","3587.651142","3364.10977","3581.174343","3431.241665","3499.27349","3424.941597","3543.119022","3345.926379","3567.384985","3508.233141","3568.024453","3519.730545","3572.905341","3555.184191","3517.349156","3631.750998","3831.065994","4015.070431","3924.298897","3878.505883","1830","1910","1920","1890","1900","2020","2080","2110","2090","2150","2140","2130","2220","2330","2380","2250","2200","2180","2320","2290","2290","2300","2360","2460","2460","2510","2450","2400","2460","","",
"Cuba","CUB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","8379.393","7816.309","7544.935","7900.381","8168.066","8384.787","8545.801","8683.286","9227.274","10404.53","9862.898","10152.686","9702.876","8939.16","10185.267","10486.587","10716.08","10531.258","10554.353","10907.784","6350","5840","5380","4570","4060","4050","4050","4150","4020","3790","3740","3890","3620","3400","3500","3290","3460","3520","3580","3470","3520","3720","3650","3760","3950","3840","3740","3700","3620","","",
"Curacao","CUW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
